executionId,originalExecutionId,account,executionTime,status,executionType,processName,processId,atomName,atomId,inboundDocumentCount,inboundErrorDocumentCount,outboundDocumentCount,executionDuration,message,parentExecutionId,topLevelExecutionId,inboundDocumentSize,outboundDocumentSize,launcherID,reportKey,nodeId
execution-20f5fd8e-4dc9-4028-a8ac-8e27b024f65e-2023.08.15,,eonitalyspa-AEYI78,20230814 200000.000,COMPLETE,exec_listener_bridge,MMI_CLOUD_POST_ENGAGEMENT_GameCoins,36f7425c-c0b5-4896-887e-b2362670b4e6,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1,0,1,166,,,,55,168,88a97aa4-841c-416c-bbbe-a050226b815b,apim-azure,atom02[worker-ca79d8aa-9c98-403b-a9fa-6f73ea8ee19e-2023.08.14]
execution-5ec99114-6a60-4ddc-8ee9-5b6618b1cce0-2023.08.15,,eonitalyspa-AEYI78,20230814 200000.000,COMPLETE,exec_sched,MMI_CLOUD_CAMAPIGN_TO_JAKALA,0bcec3ec-fcec-41e3-9187-2eea4b4cddd9,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1,0,0,5359,,,,0,0,,,atom05[execution-5ec99114-6a60-4ddc-8ee9-5b6618b1cce0-2023.08.15]
execution-e427351a-65a8-44d5-8ae6-72959c65e411-2023.08.15,,eonitalyspa-AEYI78,20230814 200000.000,COMPLETE,exec_sched,MMI_CLOUD_DIP_TO_CRM_CC_NEAR_SHORE,96ac06ca-71e4-4902-84e3-2000f5f8a266,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1,0,0,5732,,,,0,0,,,atom06[execution-e427351a-65a8-44d5-8ae6-72959c65e411-2023.08.15]
execution-15e909f4-6968-41d8-a130-0b14b06accbe-2023.08.15,,eonitalyspa-AEYI78,20230814 200001.000,COMPLETE,exec_listener_bridge,MMI_CLOUD_DVC_RLT_MyEON_CONSUMI_PWR,17078631-c508-4356-afb4-69ef56665955,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1,0,3,348,,,,0,12039,688e4cf4-efc0-4943-9566-7f79b55515ab,apim-azure,atom01[worker-77b05c22-d786-447b-bad2-42a1f056b28e-2023.08.14]
execution-6f7a7773-e880-45d2-9ffd-ff46d4ddb9c6-2023.08.15,,eonitalyspa-AEYI78,20230814 200001.000,COMPLETE,exec_listener_bridge,MMI_CLOUD_DVC_RLT_MyEON_CONSUMI_PWR,17078631-c508-4356-afb4-69ef56665955,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1,0,3,273,,,,0,1203,688e4cf4-efc0-4943-9566-7f79b55515ab,apim-azure,atom06[worker-fbe91e0e-dfc5-495b-bd89-e056d9ecd6bf-2023.08.14]
execution-880559e4-8fbe-4edf-82a9-71cdcf801b8b-2023.08.15,,eonitalyspa-AEYI78,20230814 200001.000,COMPLETE,exec_listener_bridge,MMI_CLOUD_DVC_RLT_MyEON_CONSUMI_PWR,17078631-c508-4356-afb4-69ef56665955,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1,0,3,272,,,,0,2751,688e4cf4-efc0-4943-9566-7f79b55515ab,apim-azure,atom04[worker-71c76da1-8eaa-4e9f-964e-7305d6035126-2023.08.14]
execution-f67e25e6-fdc5-4e78-9639-51cbc423dcd6-2023.08.15,,eonitalyspa-AEYI78,20230814 200001.000,COMPLETE,exec_listener_bridge,MMI_CLOUD_DVC_RLT_MyEON_CONSUMI_PWR,17078631-c508-4356-afb4-69ef56665955,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1,0,0,239,,,,0,0,688e4cf4-efc0-4943-9566-7f79b55515ab,apim-azure,atom01[worker-79dfe9a7-9e70-4a22-86b7-fb7f8be3bfe2-2023.08.14]
execution-70e49fe9-7db8-42ff-9155-67be8023a3b3-2023.08.15,,eonitalyspa-AEYI78,20230814 200004.000,COMPLETE,exec_listener_bridge,MMI_CLOUD_POST_ENGAGEMENT_PlayGame,e3a45d23-7271-4d3d-9ba0-28aaf6d02647,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1,0,1,140,,,,55,260,88a97aa4-841c-416c-bbbe-a050226b815b,apim-azure,atom01[worker-79dfe9a7-9e70-4a22-86b7-fb7f8be3bfe2-2023.08.14]
execution-a1e1aa2a-e603-4f79-b0ef-f29ba5078515-2023.08.15,,eonitalyspa-AEYI78,20230814 200008.000,COMPLETE,exec_listener_bridge,MMI_CLOUD_POST_ENGAGEMENT_GameCoins,36f7425c-c0b5-4896-887e-b2362670b4e6,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1,0,1,182,,,,55,168,88a97aa4-841c-416c-bbbe-a050226b815b,apim-azure,atom02[worker-ca79d8aa-9c98-403b-a9fa-6f73ea8ee19e-2023.08.14]
execution-08a81f72-64b6-4ce9-b7bd-be1ca4152e3a-2023.08.15,,eonitalyspa-AEYI78,20230814 200011.000,COMPLETE,exec_listener_bridge,MMI_CLOUD_DVC_RLT_MyEON_CONSUMI_PWR,17078631-c508-4356-afb4-69ef56665955,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1,0,3,349,,,,0,12069,688e4cf4-efc0-4943-9566-7f79b55515ab,apim-azure,atom01[worker-79dfe9a7-9e70-4a22-86b7-fb7f8be3bfe2-2023.08.14]
